customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_service_a,internet_service,internet_service_a,contract_type,contract_type_a,payment_type,monthly_charges,total_charges,churn,is_female,has_churned,has_phone,has_internet,has_phone_has_internet,partner_dependents,tenure,start_date,avg_monthly_charges
0002-ORFBO,Female,0,Yes,Yes,1,One Line,1,DSL,1,1 Year,Mailed check,65.6,593.3,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,9,20201108,65.6
0003-MKNFE,Male,0,No,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Mailed check,59.9,542.4,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,9,20201108,59.9
0004-TLHLJ,Male,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,73.9,280.85,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,4,20210417,73.9
0011-IGKFF,Male,1,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,98,1237.85,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,13,20200722,98
0013-EXCHZ,Female,1,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Mailed check,83.9,267.4,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,3,20210506,83.9
0013-MHZWF,Female,0,No,Yes,1,One Line,1,DSL,0,Month-to-Month,Credit card (automatic),69.4,571.45,No,TRUE,FALSE,TRUE,TRUE,TRUE,2,8,20201203,69.4
0013-SMEOE,Female,1,Yes,No,1,One Line,2,Fiber Optic,2,2 Year,Bank transfer (automatic),109.7,7904.25,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,72,20150811,109.7
0014-BMAQU,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),84.65,5377.8,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,64,20160426,84.65
0015-UOCOJ,Female,1,No,No,1,One Line,1,DSL,0,Month-to-Month,Electronic check,48.2,340.35,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,7,20210108,48.2
0016-QLJIS,Female,0,Yes,Yes,2,Two or More Lines,1,DSL,2,2 Year,Mailed check,90.45,5957.9,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,66,20160215,90.45
0017-DINOC,Male,0,No,No,0,No Phone Service,1,DSL,2,2 Year,Credit card (automatic),45.2,2460.55,No,FALSE,FALSE,FALSE,TRUE,FALSE,0,54,20170128,45.2
0017-IUDMW,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),116.8,8456.75,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,72,20150731,116.8
0018-NYROU,Female,0,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,68.95,351.5,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,5,20210308,68.95
0019-EFAEP,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Bank transfer (automatic),101.3,7261.25,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,72,20150822,101.3
0019-GFNTW,Female,0,No,No,0,No Phone Service,1,DSL,2,2 Year,Bank transfer (automatic),45.05,2560.1,No,TRUE,FALSE,FALSE,TRUE,FALSE,0,57,20161116,45.05
0020-INWCK,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),95.75,6849.4,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,72,20150827,95.75
0020-JDNXP,Female,0,Yes,Yes,0,No Phone Service,1,DSL,1,1 Year,Mailed check,61.25,1993.2,No,TRUE,FALSE,FALSE,TRUE,FALSE,3,33,20181125,61.25
0021-IKXGC,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,72.1,72.1,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,20210711,72.1
0022-TCJCI,Male,1,No,No,1,One Line,1,DSL,1,1 Year,Credit card (automatic),62.7,2791.5,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,45,20171125,62.7
0023-HGHWL,Male,1,No,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,25.1,25.1,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,20210711,25.1
0023-UYUPN,Female,1,Yes,No,2,Two or More Lines,0,No Internet Service,1,1 Year,Electronic check,25.2,1306.3,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,52,20170417,25.2
0023-XUOPT,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,94.1,1215.6,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,13,20200714,94.1
0027-KWYKW,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,83.75,1849.95,No,TRUE,FALSE,TRUE,FALSE,FALSE,3,22,20191009,83.75
0030-FNXPP,Female,0,No,No,1,One Line,0,No Internet Service,0,Month-to-Month,Mailed check,19.85,57.2,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,3,20210515,19.85
0031-PVLZI,Female,0,Yes,Yes,1,One Line,0,No Internet Service,0,Month-to-Month,Mailed check,20.35,76.35,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,3,4,20210418,20.35
0032-PGELS,Female,0,Yes,Yes,0,No Phone Service,1,DSL,0,Month-to-Month,Bank transfer (automatic),30.5,30.5,Yes,TRUE,TRUE,FALSE,TRUE,FALSE,3,1,20210711,30.5
0036-IHMOT,Female,0,Yes,Yes,1,One Line,2,Fiber Optic,1,1 Year,Bank transfer (automatic),103.7,5656.75,No,TRUE,FALSE,TRUE,FALSE,FALSE,3,55,20170124,103.7
0040-HALCW,Male,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Credit card (automatic),20.4,1090.6,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,53,20170226,20.4
0042-JVWOJ,Male,0,No,No,1,One Line,0,No Internet Service,1,1 Year,Bank transfer (automatic),19.6,471.85,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,24,20190809,19.6
0042-RLHYP,Female,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Bank transfer (automatic),19.7,1396.9,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,71,20150915,19.7
0048-LUMLS,Male,0,Yes,Yes,1,One Line,2,Fiber Optic,1,1 Year,Credit card (automatic),91.2,3247.55,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,36,20180823,91.2
0048-PIHNL,Female,0,Yes,No,1,One Line,0,No Internet Service,1,1 Year,Bank transfer (automatic),20.45,900.9,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,44,20171210,20.45
0052-DCKON,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,1,1 Year,Bank transfer (automatic),115.8,7942.15,No,FALSE,FALSE,TRUE,FALSE,FALSE,1,69,20151124,115.8
0052-YNYOT,Female,0,No,No,1,One Line,0,No Internet Service,1,1 Year,Electronic check,20.55,1343.4,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,65,20160301,20.55
0056-EPFBG,Male,0,Yes,Yes,0,No Phone Service,1,DSL,2,2 Year,Credit card (automatic),39.4,825.4,No,FALSE,FALSE,FALSE,FALSE,FALSE,3,21,20191112,39.4
0057-QBUQH,Female,0,No,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Electronic check,25.1,1070.15,No,TRUE,FALSE,TRUE,TRUE,TRUE,2,43,20180122,25.1
0058-EVZWM,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),89.8,4959.6,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,55,20170104,89.8
0060-FUALY,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,94.75,5597.65,No,TRUE,FALSE,TRUE,FALSE,FALSE,1,59,20160909,94.75
0064-SUDOG,Female,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Bank transfer (automatic),20.3,224.5,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,11,20200908,20.3
0064-YIJGF,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),75.75,1929,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,25,20190628,75.75
0067-DKWBL,Male,1,No,No,1,One Line,1,DSL,0,Month-to-Month,Electronic check,49.25,91.1,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,2,20210615,49.25
0068-FIGTF,Female,0,No,No,1,One Line,1,DSL,1,1 Year,Mailed check,78.2,2078.95,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,27,20190525,78.2
0071-NDAFP,Male,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),25.5,630.6,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,25,20190720,25.5
0074-HDKDG,Male,0,Yes,Yes,1,One Line,1,DSL,1,1 Year,Bank transfer (automatic),61.6,1611,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,26,20190607,61.6
0076-LVEPS,Male,0,No,Yes,0,No Phone Service,1,DSL,0,Month-to-Month,Mailed check,45,1242.45,No,FALSE,FALSE,FALSE,TRUE,FALSE,2,28,20190424,45
0078-XZMHT,Male,0,Yes,No,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),85.15,6316.2,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,74,20150607,85.15
0080-EMYVY,Female,0,No,No,1,One Line,1,DSL,1,1 Year,Credit card (automatic),51.45,727.85,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,14,20200606,51.45
0080-OROZO,Female,0,No,No,1,One Line,2,Fiber Optic,1,1 Year,Electronic check,99.25,3532,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,36,20180824,99.25
0082-LDZUE,Male,0,No,No,1,One Line,1,DSL,0,Month-to-Month,Mailed check,44.3,44.3,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,1,20210711,44.3
0082-OQIQY,Male,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,94.2,2607.6,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,28,20190422,94.2
0083-PIVIK,Male,0,No,No,2,Two or More Lines,1,DSL,1,1 Year,Electronic check,81.25,5567.55,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,69,20151126,81.25
0089-IIQKO,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),99.95,3767.4,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,38,20180621,99.95
0093-EXYQL,Female,1,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,91.55,3673.6,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,40,20180408,91.55
0093-XWZFY,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),104.5,4036.85,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,39,20180523,104.5
0094-OIFMO,Female,1,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,95,1120.3,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,12,20200817,95
0096-BXERS,Female,0,Yes,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Electronic check,50.35,314.55,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,6,20210201,50.35
0096-FCPUF,Male,0,No,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Mailed check,64.5,1888.45,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,29,20190304,64.5
0098-BOWSO,Male,0,No,No,1,One Line,0,No Internet Service,0,Month-to-Month,Electronic check,19.4,529.8,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,27,20190503,19.4
0100-DUVFC,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,1,1 Year,Electronic check,104.8,7308.95,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,70,20151020,104.8
0103-CSITQ,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,1,1 Year,Bank transfer (automatic),109.4,6252.7,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,57,20161106,109.4
0104-PPXDV,Male,0,Yes,No,1,One Line,1,DSL,1,1 Year,Credit card (automatic),50.3,2878.55,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,57,20161104,50.3
0106-GHRQR,Male,0,No,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Bank transfer (automatic),71.4,1212.1,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,17,20200312,71.4
0106-UGRDO,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Electronic check,116,8182.85,No,TRUE,FALSE,TRUE,FALSE,FALSE,1,71,20150926,116
